"","source_population","treatment","day_harvest","samples"
"ASC_06_C_0_GAGTCC","ASC_06","Control",0,"ASC_06_C_0_GAGTCC"
"ASC_06_C_10_ACGTCT","ASC_06","Control",10,"ASC_06_C_10_ACGTCT"
"ASC_06_C_5_GTGTAG","ASC_06","Control",5,"ASC_06_C_5_GTGTAG"
"ASC_06_D_H_0_CGCAAC","ASC_06","Drought; Heat",0,"ASC_06_D_H_0_CGCAAC"
"ASC_06_D_H_10_CAGCGT","ASC_06","Drought; Heat",10,"ASC_06_D_H_10_CAGCGT"
"ASC_06_H_0_AATAGC","ASC_06","Heat",0,"ASC_06_H_0_AATAGC"
"ASC_06_H_10_TCGAGG","ASC_06","Heat",10,"ASC_06_H_10_TCGAGG"
"ASC_06_H_5_CCGCAA","ASC_06","Heat",5,"ASC_06_H_5_CCGCAA"
"BRU_05_C_0_ACCGTG","BRU_05","Control",0,"BRU_05_C_0_ACCGTG"
"BRU_05_C_10_GCATGG","BRU_05","Control",10,"BRU_05_C_10_GCATGG"
"BRU_05_D_H_0_GCGAAT","BRU_05","Drought; Heat",0,"BRU_05_D_H_0_GCGAAT"
"BRU_05_D_H_10_GATTGT","BRU_05","Drought; Heat",10,"BRU_05_D_H_10_GATTGT"
"BRU_05_D_H_5_GGTATA","BRU_05","Drought; Heat",5,"BRU_05_D_H_5_GGTATA"
"BRU_05_H_0_TGGATT","BRU_05","Heat",0,"BRU_05_H_0_TGGATT"
"BRU_05_H_10_TTCCGC","BRU_05","Heat",10,"BRU_05_H_10_TTCCGC"
"CAM_02_C_0_GGCTGC","CAM_02","Control",0,"CAM_02_C_0_GGCTGC"
"CAM_02_C_10_AACGCC","CAM_02","Control",10,"CAM_02_C_10_AACGCC"
"CAM_02_C_5_TTAACT","CAM_02","Control",5,"CAM_02_C_5_TTAACT"
"CAM_02_D_H_0_ATAAGA","CAM_02","Drought; Heat",0,"CAM_02_D_H_0_ATAAGA"
"CAM_02_D_H_10_AAGACA","CAM_02","Drought; Heat",10,"CAM_02_D_H_10_AAGACA"
"CAM_02_H_0_ATTGGT","CAM_02","Heat",0,"CAM_02_H_0_ATTGGT"
"CAM_02_H_10_CAAGCA","CAM_02","Heat",10,"CAM_02_H_10_CAAGCA"
"CAM_02_H_5_GGTGAG","CAM_02","Heat",5,"CAM_02_H_5_GGTGAG"
"ESC_01_C_0_CAGATG","ESC_01","Control",0,"ESC_01_C_0_CAGATG"
"ESC_01_C_10_ACAACG","ESC_01","Control",10,"ESC_01_C_10_ACAACG"
"ESC_01_D_H_0_CGGTTA","ESC_01","Drought; Heat",0,"ESC_01_D_H_0_CGGTTA"
"ESC_01_D_H_10_TACCTT","ESC_01","Drought; Heat",10,"ESC_01_D_H_10_TACCTT"
"ESC_01_D_H_5_GACGAT","ESC_01","Drought; Heat",5,"ESC_01_D_H_5_GACGAT"
"ESC_01_H_0_TCAGGA","ESC_01","Heat",0,"ESC_01_H_0_TCAGGA"
"ESC_01_H_10_ATGGCG","ESC_01","Heat",10,"ESC_01_H_10_ATGGCG"
"JAY_02_C_0_ACCTAC","JAY_02","Control",0,"JAY_02_C_0_ACCTAC"
"JAY_02_C_10_TATGTC","JAY_02","Control",10,"JAY_02_C_10_TATGTC"
"JAY_02_D_H_0_CCAATT","JAY_02","Drought; Heat",0,"JAY_02_D_H_0_CCAATT"
"JAY_02_D_H_10_CGCCTG","JAY_02","Drought; Heat",10,"JAY_02_D_H_10_CGCCTG"
"JAY_02_H_0_AACCGA","JAY_02","Heat",0,"JAY_02_H_0_AACCGA"
"JAY_02_H_10_CGATCT","JAY_02","Heat",10,"JAY_02_H_10_CGATCT"
"JAY_02_H_5_ATGAAC","JAY_02","Heat",5,"JAY_02_H_5_ATGAAC"
"KAN_04_C_0_CACACT","KAN_04","Control",0,"KAN_04_C_0_CACACT"
"KAN_04_C_10_CGTCGC","KAN_04","Control",10,"KAN_04_C_10_CGTCGC"
"KAN_04_D_H_0_CAATGC","KAN_04","Drought; Heat",0,"KAN_04_D_H_0_CAATGC"
"KAN_04_D_H_10_TGACAC","KAN_04","Drought; Heat",10,"KAN_04_D_H_10_TGACAC"
"KAN_04_H_0_CTCCAT","KAN_04","Heat",0,"KAN_04_H_0_CTCCAT"
"KAN_04_H_10_TAGGCT","KAN_04","Heat",10,"KAN_04_H_10_TAGGCT"
"LOL_02_C_0_AGTACT","LOL_02","Control",0,"LOL_02_C_0_AGTACT"
"LOL_02_C_10_CCTAAG","LOL_02","Control",10,"LOL_02_C_10_CCTAAG"
"LOL_02_C_5_CAACAG","LOL_02","Control",5,"LOL_02_C_5_CAACAG"
"LOL_02_D_H_0_AGATAG","LOL_02","Drought; Heat",0,"LOL_02_D_H_0_AGATAG"
"LOL_02_D_H_10_CAGGAC","LOL_02","Drought; Heat",10,"LOL_02_D_H_10_CAGGAC"
"LOL_02_H_0_TGGCGA","LOL_02","Heat",0,"LOL_02_H_0_TGGCGA"
"LOL_02_H_10_GACATC","LOL_02","Heat",10,"LOL_02_H_10_GACATC"
"MMF_13_C_0_ACAGAT","MMF_13","Control",0,"MMF_13_C_0_ACAGAT"
"MMF_13_C_10_TGTGCA","MMF_13","Control",10,"MMF_13_C_10_TGTGCA"
"MMF_13_C_5_AGTTGA","MMF_13","Control",5,"MMF_13_C_5_AGTTGA"
"MMF_13_D_H_0_CTCTCG","MMF_13","Drought; Heat",0,"MMF_13_D_H_0_CTCTCG"
"MMF_13_D_H_10_TTTATG","MMF_13","Drought; Heat",10,"MMF_13_D_H_10_TTTATG"
"MMF_13_D_H_5_AAGCTC","MMF_13","Drought; Heat",5,"MMF_13_D_H_5_AAGCTC"
"MMF_13_H_0_AATCCG","MMF_13","Heat",0,"MMF_13_H_0_AATCCG"
"MMF_13_H_10_ATACTG","MMF_13","Heat",10,"MMF_13_H_10_ATACTG"
"MMF_13_H_5_CGAAGG","MMF_13","Heat",5,"MMF_13_H_5_CGAAGG"
"NOR_02_C_0_AATGAA","NOR_02","Control",0,"NOR_02_C_0_AATGAA"
"NOR_02_C_10_TTGGTA","NOR_02","Control",10,"NOR_02_C_10_TTGGTA"
"NOR_02_C_5_TCGTTC","NOR_02","Control",5,"NOR_02_C_5_TCGTTC"
"NOR_02_D_H_0_TCTTAA","NOR_02","Drought; Heat",0,"NOR_02_D_H_0_TCTTAA"
"NOR_02_D_H_10_GTGCCA","NOR_02","Drought; Heat",10,"NOR_02_D_H_10_GTGCCA"
"NOR_02_D_H_5_CACTAA","NOR_02","Drought; Heat",5,"NOR_02_D_H_5_CACTAA"
"NOR_02_H_0_GTTACC","NOR_02","Heat",0,"NOR_02_H_0_GTTACC"
"NOR_02_H_10_GTAGAA","NOR_02","Heat",10,"NOR_02_H_10_GTAGAA"
"NOR_02_H_5_GAAGTG","NOR_02","Heat",5,"NOR_02_H_5_GAAGTG"
"XBM_07_C_0_GATCAC","XBM_07","Control",0,"XBM_07_C_0_GATCAC"
"XBM_07_C_10_GCTCGA","XBM_07","Control",10,"XBM_07_C_10_GCTCGA"
"XBM_07_C_5_TGCACG","XBM_07","Control",5,"XBM_07_C_5_TGCACG"
"XBM_07_D_H_0_ATATCC","XBM_07","Drought; Heat",0,"XBM_07_D_H_0_ATATCC"
"XBM_07_D_H_10_GTCAGG","XBM_07","Drought; Heat",10,"XBM_07_D_H_10_GTCAGG"
"XBM_07_D_H_5_CTAGTC","XBM_07","Drought; Heat",5,"XBM_07_D_H_5_CTAGTC"
"XBM_07_H_0_ACCAGT","XBM_07","Heat",0,"XBM_07_H_0_ACCAGT"
"XBM_07_H_10_GGAGGT","XBM_07","Heat",10,"XBM_07_H_10_GGAGGT"
